Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C307, C308, C309",0603,4,10uf,
C202,0603,1,100nf,Different
"C203, C206",0603,2,22uf,
"C204, C207, C301, C305, C306, C310, C311, C312",0603,8,100nf,
"C205, C302, C303, C304",0603,4,1uf,
D201,0603,1,RED,
D202,D_SOD-323,1,1N5819WS,1N5819WS
J201,CONN_5040500891_MOL,1,5040500891,5040500891
J203,UJ20-C-H-G-SMT-1-P16-TR,1,USB_C_Receptacle_USB2.0_16P,UJ20-C-H-G-SMT-1-P16-TR
L301,SRR1208,1,SRR1208-120ML,
"P301, P302",436500200 2-pin,2,436500200,436500200
Q302,TO-126-3_Vertical,1,BD139,BD139
"R201, R203, R204, R205, R308",0603,5,10k,
"R202, R302, R304, R305",0603,4,1k,
"R206, R207, R303, R311",0603,4,5.1k,
R301,0805,1,100m,
R306,2512,1,5.1,CRM2512-FX-5R10ELF
R307,0603,1,100k,
R309,0603,1,162k,
R310,0603,1,22.1k,
"SW201, SW202",430471035826,2,SW_MEC_5E,SW_MEC_5E
U201,SOT-223-3_TabPin2,1,AMS1117-3.3,AMS1117-3.3
U202,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N8R8,ESP32-S3-WROOM-1-N8R8
U203,SOT-23-6,1,USBLC6-2SC6,USBLC6-2SC6
U301,TSSOP-10_3x3mm_P0.5mm,1,DAC60501ZDGSR,DAC60501ZDGSR
U302,SOT-23-6,1,INA181A2IDBVR,INA181A2IDBVR
U303,SOT-23-5,1,TLV9061xDBV,TLV9061xDBV
U304,SOT-23-6,1,LMR51420XFDDCR,LMR51420XFDDCR
