Designator,Mid X,Mid Y,Rotation,Layer
C201,118.75,-104.05,90.0,top
C202,99.0,-86.0,270.0,top
C203,129.8,-102.45,90.0,top
C204,122.5,-97.0,90.0,top
C205,89.9,-121.6,180.0,top
C206,97.0,-82.5,90.0,top
C207,99.25,-82.5,90.0,top
C301,103.75,-105.25,180.0,top
C302,129.875,-119.0,270.0,top
C303,126.875,-119.0,270.0,top
C304,128.375,-119.0,270.0,top
C305,125.375,-119.0,270.0,top
C306,121.875,-115.0,270.0,top
C307,121.375,-111.0,0.0,top
C308,121.375,-112.5,0.0,top
C309,121.375,-109.5,0.0,top
C310,95.6,-119.4,270.0,top
C311,102.025,-102.8,0.0,top
C312,113.2,-101.4,180.0,top
D201,125.2,-97.0,270.0,top
D202,94.0,-93.45,180.0,top
D301,128.4,-110.6,90.0,top
J201,136.0,-96.167099,270.0,top
J203,84.175,-91.93,270.0,top
L301,113.375,-114.5,90.0,top
P301,86.4,-110.0,270.0,top
P302,136.05,-110.167099,90.0,top
Q302,97.75,-108.5,90.0,top
R201,97.25,-86.0,270.0,top
R202,126.7,-97.0,90.0,top
R203,121.0,-97.0,90.0,top
R204,92.9,-121.6,0.0,top
R205,102.0,-101.3,0.0,top
R206,90.75,-94.8,0.0,top
R207,91.0,-99.0,270.0,top
R301,92.5,-115.8,180.0,top
R302,104.25,-102.75,270.0,top
R303,108.575,-105.0,0.0,top
R304,105.2,-113.8,270.0,top
R305,100.75,-105.25,0.0,top
R306,101.9,-117.3625,270.0,top
R307,93.5,-113.5,180.0,top
R308,94.3,-111.25,270.0,top
R309,121.375,-108.0,180.0,top
R310,124.375,-108.0,180.0,top
R311,113.2,-102.9,180.0,top
SW201,94.98,-89.524,90.0,top
SW202,128.4,-89.5,90.0,top
U201,124.35,-103.45,180.0,top
U202,110.075,-87.0,0.0,top
U203,94.0,-96.25,0.0,top
U301,108.5,-102.5,270.0,top
U302,92.5,-118.5,0.0,top
U304,124.375,-115.0,270.0,top
U305,102.0,-109.7,180.0,top
