Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C202, C203, C204, C205, C206, C207, C208, C209, C210, C211, C212, C213, C214, C215, C216, C301, C302, C303, C304, C305, C306, C307, C308, C401, C402, C403, C404, C405, C406, C407, C408, C409, C410, C411, C412, C413, C414, C415, C416, C417, C418, C419, C420, C421, C422, C423, C424",0402,48,2u2,GRM155R61E225ME15D
C309,0603,1,200pf,CL10C201JB8NNNC
C501,0603,1,220nf,GCM188R71H224KA64D
"C502, C503, C504, C505, C506, C507, C508, C509, C510, C511, C512, C513, C514, C515, C516, C517, C518, C519, C701, C702, C704, C706, C707, C708, C709, C710, C711, C713, C714",0603,29,0.1uf,CL10B104KB8NNNC
"C601, C602, C606, C607, C609, C614, C615, C712",0603,8,10uf,GRM188R6YA106MA73D
C603,0603,1,1uf,C0603C105K4RACTU
"C604, C605",0603,2,10nf,CL10B103KB8NNNC
"C608, C610, C611, C612, C613",0603,5,4.7uf,CL10A475KO8NNNC
"C703, C705",0603,2,28pf,CL10C270JB8NNNC
C715,0603,1,22uf,CL10A226MP8NUNE
D201,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N457,1N457
D301,SOIC-8_3.9x4.9mm_P1.27mm,1,LT1004-1.2,LT1004CS8-1.2#TRPBF
D601,D_SMA,1,SMAJ24A,SMAJ24A
D701,D_SOD-323,1,1N5819WS,1N5819WS
D702,0603,1,RED,LTST-C191KRKT
"J401, J402",CUI_TB002-500-02BE,2,Screw_Terminal_01x02,TB002-500-02BE
J702,CONN_5040500891_MOL,1,5040500891,5040500891
J703,UJ20-C-H-G-SMT-1-P16-TR,1,USB_C_Receptacle_USB2.0_16P,UJ20-C-H-G-SMT-1-P16-TR
P601,436500200 2-pin,1,436500200,436500200
"Q201, Q202, Q301, Q401, Q402, Q403",TSSOP-16_4.4x5mm_P0.65mm,6,TMUX1112PWR,TMUX1112PWR
"R201, R202, R203, R204, R205, R206, R207, R208, R301, R302, R303, R304, R401, R402, R403, R404, R408, R409, R410, R411, R414, R415, R416, R417, R701, R702",0402,26,5.1k,RT0402BRD075K1L
R209,0603,1,133,RQ73C1J133RBTD
"R210, R211, R705",0603,3,1.33k,ERA-3AEB1331V
"R212, R213",0603,2,13.3k,ERA-3AEB1332V
"R214, R215",0603,2,134k,ERA-3AEB1333V
R216,0603,1,1.33M,RK73H1JTTD1334F
"R305, R502, R504",0603,3,10M,CRCW060310M0DHEAP
R306,0603,1,22.6k,ERA-3AEB2262V
R307,0603,1,100k,ERA-3AEB104V
R308,0603,1,100M,HVC0603T1006FET
R309,0603,1,226k,ERA-3AEB2263V
R310,0603,1,1M,RN73H1JTTD1004B25
R311,0603,1,2.7k,ERA-3AEB272V
R405,0603,1,4.99,RN73C1J4R99BTD
"R406, R606, R616",0603,3,500,ERA-3AEB4990V
"R407, R605, R608",0603,3,33.2k,ERA-3AEB3322V
"R412, R413, R505, R506, R703, R704",0603,6,10k,ERA-3AEB103V
"R501, R503",0603,2,50,ERA-3AEB49R9V
"R601, R604",0603,2,569k,RN73H1JTTD5693B50
"R602, R603, R607, R609",0603,4,180k,ERA-3AEB184V
R610,0603,1,7.5k,ERA-3AEB752V
"R611, R613",0603,2,448k,RT0603BRD07448KL
"R612, R614",0603,2,50k,RT0603BRD0750KL
"SW701, SW702",430471035826,2,SW_MEC_5E,430471035826
"U201, U301",SOIC-8_3.9x4.9mm_P1.27mm,2,LM334M,LM334M
U302,SOIC-8_3.9x4.9mm_P1.27mm,1,LT1008,LT1008S8#PBF
"U501, U502, U503, U504, U509",SOT-23-5,5,OPA376xxDBV,OPA376AIDBVR
"U505, U506",SOIC-8_3.9x4.9mm_P1.27mm,2,AD8421ARZ,AD8421ARZ
U507,TSSOP-20_4.4x6.5mm_P0.65mm,1,ADS131M04xPW,ADS131M04IPWR
U508,SSOP-16_3.9x4.9mm_P0.635mm,1,ISO7762FDBQ,ISO7762FDBQ
U601,MSOP-16-1EP_3x4.039mm_P0.5mm_EP1.651x2.845mm,1,LTC3260xMSE,LTC3260EMSE#TRPBF
U602,MSOP-12-1EP_3x4.039mm_P0.65mm_EP1.651x2.845mm,1,LT3094xMSE,LT3094EMSE#TRPBF
U603,MSOP-10-1EP_3x3mm_P0.5mm_EP1.68x1.88mm,1,LT3042xMSE,LT3042EMSE#TRPBF
U701,TSSOP-14_4.4x5mm_P0.65mm,1,TXU0304,TXU0304PWR
U702,ABM8G-25.000MHZ-18-D2Y-T,1,ABM8G-25.000MHZ-18-D2Y-T,ABM8G-25.000MHZ-18-D2Y-T
U703,SOT-23-6,1,USBLC6-2SC6,USBLC6-2SC6c
U704,LQFP-64_10x10mm_P0.5mm,1,STM32G431RBTx,STM32G431RBT6
U705,SOT-223-3_TabPin2,1,AMS1117-3.3,AMS1117-3.3
