Designator,Mid X,Mid Y,Rotation,Layer
C201,177.399051,-84.2,90.0,top
C202,181.399051,-84.2,90.0,top
C203,185.399051,-84.2,90.0,top
C204,179.399051,-84.2,90.0,top
C205,202.599051,-77.5,90.0,top
C206,187.399051,-84.2,90.0,top
C207,183.399051,-84.2,90.0,top
C208,200.599051,-77.5,90.0,top
C209,176.899051,-82.8,0.0,top
C210,180.899051,-82.8,0.0,top
C211,184.899051,-82.8,0.0,top
C212,178.899051,-82.8,0.0,top
C213,202.099051,-76.1,0.0,top
C214,186.899051,-82.8,0.0,top
C215,182.919051,-82.8,0.0,top
C216,200.099051,-76.1,0.0,top
C301,204.599051,-77.5,90.0,top
C302,199.699051,-80.8,90.0,top
C303,203.599051,-80.8,90.0,top
C304,201.699051,-80.8,90.0,top
C305,204.099051,-76.1,0.0,top
C306,199.199051,-79.4,0.0,top
C307,203.099051,-79.4,0.0,top
C308,201.199051,-79.4,0.0,top
C309,178.949179,-124.061145,180.0,top
C401,202.799051,-84.2,90.0,top
C402,204.799051,-84.2,90.0,top
C403,206.799051,-84.2,90.0,top
C404,210.799051,-84.2,90.0,top
C405,202.299051,-82.8,0.0,top
C406,204.299051,-82.8,0.0,top
C407,206.299051,-82.8,0.0,top
C408,210.299051,-82.8,0.0,top
C409,214.799051,-84.2,90.0,top
C410,216.799051,-84.2,90.0,top
C411,212.799051,-84.2,90.0,top
C412,208.799051,-84.2,90.0,top
C413,214.299051,-82.8,0.0,top
C414,216.299051,-82.8,0.0,top
C415,212.299051,-82.8,0.0,top
C416,208.299051,-82.8,0.0,top
C417,205.599051,-80.8,90.0,top
C418,198.799051,-84.2,90.0,top
C419,200.799051,-84.2,90.0,top
C420,196.799051,-84.2,90.0,top
C421,205.099051,-79.4,0.0,top
C422,198.299051,-82.8,0.0,top
C423,200.299051,-82.75,0.0,top
C424,196.299051,-82.8,0.0,top
C501,185.899051,-91.5,90.0,top
C502,206.499051,-107.2,0.0,top
C503,204.699051,-99.0,180.0,top
C504,199.399051,-106.1,0.0,top
C505,190.599051,-111.4,90.0,top
C506,196.099051,-96.3,90.0,top
C507,185.599051,-100.7,270.0,top
C508,192.899051,-102.7,270.0,top
C509,194.599051,-99.9,270.0,top
C510,195.299051,-104.7,180.0,top
C511,185.899051,-88.5,270.0,top
C512,185.899051,-94.5,90.0,top
C513,194.999051,-87.6,90.0,top
C514,194.499051,-80.3,270.0,top
C515,209.399051,-105.5,270.0,top
C516,208.899051,-99.475,270.0,top
C517,200.099051,-111.8,0.0,top
C518,194.399051,-109.0,0.0,top
C519,202.799051,-97.0,0.0,top
C601,160.749051,-69.865,180.0,top
C602,171.749051,-69.115,0.0,top
C603,166.499051,-68.115,0.0,top
C604,160.749051,-72.865,180.0,top
C605,171.749051,-75.115,180.0,top
C606,160.749051,-71.365,0.0,top
C607,171.749051,-70.615,0.0,top
C608,165.299051,-79.8,270.0,top
C609,171.699051,-77.122371,0.0,top
C610,167.449051,-86.122371,270.0,top
C611,162.049051,-86.525,270.0,top
C612,165.299051,-82.8,270.0,top
C613,172.799051,-82.7,270.0,top
C614,171.6,-64.5,180.0,top
C615,170.9,-66.8,90.0,top
C701,194.999051,-78.0,0.0,top
C702,181.399051,-75.4,90.0,top
C703,181.299051,-80.7,90.0,top
C704,183.424051,-77.7,180.0,top
C705,187.299051,-80.45,270.0,top
C706,195.099051,-65.8,90.0,top
C707,198.089051,-67.1,90.0,top
C708,196.599051,-67.1,90.0,top
C709,199.599051,-67.2,90.0,top
C710,201.099051,-67.2,90.0,top
C711,184.499051,-63.6,180.0,top
C712,199.299051,-64.7,180.0,top
C713,195.999051,-80.3,270.0,top
C714,179.899051,-72.4,90.0,top
C715,197.049051,-62.95,180.0,top
D201,176.936551,-105.285,90.0,top
D301,180.524051,-114.585,90.0,top
D601,171.8,-60.2,90.0,top
D701,190.699051,-62.0,90.0,top
J401,213.399051,-98.2,270.0,top
J402,213.399051,-115.875,270.0,top
J702,214.141052,-72.15,270.0,top
J703,192.119051,-54.375,180.0,top
P601,160.729051,-61.95,270.0,top
Q201,171.419172,-94.211594,270.0,top
Q202,171.686551,-106.975,90.0,top
Q301,167.199051,-120.55,270.0,top
Q401,201.049051,-115.7,270.0,top
